id,tags,label
120,kizuato kashiwagi_azusa azusa_kashiwagi bang-you censored mosaic_censoring 1girl ass back backboob bed bed_sheet blush breasts brown_eyes brown_hair clothing dark_skin female female_only hairband headband headwear huge_breasts large_breasts looking_back lying muscle muscular_back muscular_female muscular_shoulders nude nude_female one-piece_tan on_stomach sheets shiny shiny_skin short_hair sideboob solo sweat tanlines tanned toned vagina wet tomboy Rating:Explicit Score:4.7 Size:572x800 User:Toiski,tomboy
7593,rezi cg_art bust 1girl :3 asymmetrical_hair blue_eyes blue_jeans breast_press breasts denim female footwear jeans large_breasts megane pants pink_hair ponytail red_hair shoes short_hair sideboob side_ponytail sitting smile sneakers solo tied_hair underboob tomboy character_request Rating:Safe Score:4.6 Size:715x1000 User:anonymous,tomboy
8066,popotan mai_(popotan) watanabe_akio high_resolution very_high_resolution wallpaper jpeg_artifacts 1girl armpits arms_up barefoot bike_shorts_pull blue_panties blue_underwear blush clothing elbow-pads elbow_pads feet female foreshortening halterneck jewelry knee_pads lingerie midriff necklace one_eye_closed open_mouth pantsu pink_eyes pink_hair pov_feet short_hair shorts shorts_pull sitting soles solo spats striped striped_panties striped_underwear toes underwear undressing whistle wink tomboy potential_duplicate non-web_source Rating:Questionable Score:5.0 Size:1666x2414 User:anonymous,tomboy
12490,original bang-you 1girl arm_support breasts brown_hair cameltoe clavicle dark_skin female grey_eyes hazel_eyes huge_breasts jacket large_breasts long_sleeves midriff muscle pantyhose shiny shiny_skin short_hair smile solo spandex spats sports tanned toned track track_and_field very_short_hair tomboy Rating:Questionable Score:4.2 Size:500x700 User:anonymous,tomboy
12494,kizuato kashiwagi_azusa bang-you simple_background 1girl abs breasts brown_eyes brown_hair buruma dark_skin female huge_breasts midriff muscle muscular_female one-piece_tan shiny shiny_skin short_hair solo sports tanlines tanned toned track_and_field tomboy Rating:Safe Score:5.0 Size:572x800 User:anonymous,tomboy
12527,original makoto_(original) akatsuki_makoto null_(nyanpyoun) np_(edage_no_hazama) uncensored 1girl anal anal_beads anal_beads_tail anal_insertion anal_object_insertion animal_ear animal_ears anus ass ass_grab blush butt_plug butt_plug_tail cat_ear cat_tail clothing fake_tail female female_focus garter_belt groping heterochromia insertion lingerie maid nekomimi no_bra nopan object_insertion sex sex_toy short_hair solo solo_focus spread_anus tail tail_play thighhighs underwear androgynous loli reverse_trap tomboy contentious_content Rating:Explicit Score:4.6 Size:550x876 User:anonymous,tomboy
12684,world_witches_series strike_witches gertrud_barkhorn ryunnu uncensored 1girl animal_ears breasts brown_eyes brown_hair cameltoe clothed_female clothing eyebrows_visible_through_hair female female_only grey_panties hair_ornament hair_ribbon long_hair lowleg lowleg_panties nipples open_clothes open_shirt outdoors pantsu petite pettanko presenting presenting_hindquarters presenting_self ribbon shirt small_breasts solo standing thigh_gap thighhighs tied_hair twintails underwear vagina_peek loli tomboy contentious_content Rating:Explicit Score:4.4 Size:600x800 User:anonymous,tomboy
13362,kizuato kashiwagi_azusa bang-you 1girl bare_shoulders breasts brown_eyes brown_hair cameltoe clavicle clothing dark_skin erect_nipples erect_nipples_under_clothes female female_only hairband highleg highleg_swimsuit large_breasts muscle muscular_female nipples one-piece_swimsuit pool shiny shiny_skin short_hair sitting skin_tight smile solo spread_legs swimsuit tanned wet tomboy Rating:Questionable Score:4.7 Size:572x800 User:anonymous,tomboy
13408,original bang-you 1girl abs arm_support beach bikini bikini_top blue_eyes breasts cleavage clothing cloud cutoffs dark_skin day denim denim_shorts erect_nipples erect_nipples_under_clothes eyelashes female female_only food grey_hair large_breasts looking_at_viewer melting muscle muscular_female navel nipples ocean one-piece_tan open_fly open_pants outdoors pants pokey_nipples popsicle seaside sexually_suggestive shiny shiny_skin short_hair shorts short_shorts sitting skindentation solo suggestive_food swimsuit tanlines tanned toned unbuttoned unzipped zipper tomboy Rating:Questionable Score:4.8 Size:715x1000 User:anonymous,tomboy
15860,touhou_project wriggle_nightbug michii_yuuki 1girl animal_ears antennae blue_eyes bug cape clothing female green_hair insect short_hair shorts smile solo spider tomboy Rating:Questionable Score:1.0 Size:500x829 User:anonymous,tomboy
18035,idolmaster vocaloid idolmaster_(classic) idolmaster_1 hatsune_miku kikuchi_makoto hatsune_miku_(cosplay) nekopuchi cowboy_shot gradient_background green_background 1girl ahoge bare_shoulders belt black_eyes black_hair black_legwear black_shirt black_skirt breasts clothing collared_shirt detached_sleeves female female_only gradient green_necktie green_neckwear hand_up headphones headset in_profile legwear looking_down microphone miniskirt necktie pleated_skirt pose sad shirt short_hair skirt small_breasts solo thighhighs thighs tied_hair twintails zettai_ryouiki cosplay crossover tomboy potential_duplicate Rating:Questionable Score:4.7 Size:579x731 User:anonymous,tomboy
